X,Y,Nedbor,Month
1.0,0.5,58.0,1.0
1.0,0.5,51.0,2.0
1.0,0.5,55.0,3.0
1.0,0.5,64.0,4.0
1.0,0.5,50.0,5.0
1.0,0.5,56.0,6.0
1.0,0.5,56.0,7.0
1.0,0.5,59.0,8.0
1.0,0.5,95.0,9.0
1.0,0.5,67.0,10.0
1.0,0.5,100.0,11.0
1.0,0.5,125.0,12.0
1.0,8.0,107.0,1.0
1.0,8.0,123.0,2.0
1.0,8.0,135.0,3.0
1.0,8.0,99.0,4.0
1.0,8.0,64.0,5.0
1.0,8.0,78.0,6.0
1.0,8.0,92.0,7.0
1.0,8.0,100.0,8.0
1.0,8.0,97.0,9.0
1.0,8.0,106.0,10.0
1.0,8.0,150.0,11.0
1.0,8.0,238.0,12.0
2.0,2.0,90.0,1.0
2.0,2.0,94.0,2.0
2.0,2.0,111.0,3.0
2.0,2.0,81.0,4.0
2.0,2.0,61.0,5.0
2.0,2.0,68.0,6.0
2.0,2.0,130.0,7.0
2.0,2.0,102.0,8.0
2.0,2.0,122.0,9.0
2.0,2.0,110.0,10.0
2.0,2.0,141.0,11.0
2.0,2.0,224.0,12.0
2.0,9.0,103.0,1.0
2.0,9.0,100.0,2.0
2.0,9.0,112.0,3.0
2.0,9.0,107.0,4.0
2.0,9.0,107.0,5.0
2.0,9.0,103.0,6.0
2.0,9.0,120.0,7.0
2.0,9.0,139.0,8.0
2.0,9.0,188.0,9.0
2.0,9.0,131.0,10.0
2.0,9.0,200.0,11.0
2.0,9.0,296.0,12.0
3.0,1.0,73.0,1.0
3.0,1.0,100.0,2.0
3.0,1.0,110.0,3.0
3.0,1.0,87.0,4.0
3.0,1.0,70.0,5.0
3.0,1.0,63.0,6.0
3.0,1.0,78.0,7.0
3.0,1.0,98.0,8.0
3.0,1.0,109.0,9.0
3.0,1.0,111.0,10.0
3.0,1.0,151.0,11.0
3.0,1.0,155.0,12.0
5.0,2.0,109.0,1.0
5.0,2.0,140.0,2.0
5.0,2.0,111.0,3.0
5.0,2.0,82.0,4.0
5.0,2.0,77.0,5.0
5.0,2.0,102.0,6.0
5.0,2.0,99.0,7.0
5.0,2.0,99.0,8.0
5.0,2.0,118.0,9.0
5.0,2.0,133.0,10.0
5.0,2.0,154.0,11.0
5.0,2.0,248.0,12.0
6.0,1.0,106.0,1.0
6.0,1.0,113.0,2.0
6.0,1.0,104.0,3.0
6.0,1.0,84.0,4.0
6.0,1.0,97.0,5.0
6.0,1.0,102.0,6.0
6.0,1.0,138.0,7.0
6.0,1.0,140.0,8.0
6.0,1.0,135.0,9.0
6.0,1.0,126.0,10.0
6.0,1.0,185.0,11.0
6.0,1.0,194.0,12.0
6.0,7.0,131.0,1.0
6.0,7.0,145.0,2.0
6.0,7.0,139.0,3.0
6.0,7.0,109.0,4.0
6.0,7.0,68.0,5.0
6.0,7.0,109.0,6.0
6.0,7.0,122.0,7.0
6.0,7.0,120.0,8.0
6.0,7.0,116.0,9.0
6.0,7.0,115.0,10.0
6.0,7.0,138.0,11.0
6.0,7.0,294.0,12.0
7.0,5.0,209.0,1.0
7.0,5.0,147.0,2.0
